SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
162,06,000,07162,00000,00000,0,A,Blue Lake city,California,1253,1253,1253,1245,1241,1241,1239,1248,1266,1263,1262
162,06,000,07218,00000,00000,0,A,Blythe city,California,20817,20877,20568,20290,20653,19864,19273,19205,19783,19693,19959
162,06,000,07946,00000,00000,0,A,Bradbury city,California,1048,1048,1048,1057,1064,1075,1075,1081,1078,1088,1084
162,06,000,08058,00000,00000,0,A,Brawley city,California,24953,24971,25036,25229,25484,25544,25699,25761,26066,26212,26226
162,06,000,08100,00000,00000,0,A,Brea city,California,39282,39189,39418,39827,40145,40922,41291,41729,42445,42628,43601
162,06,000,08142,00000,00000,0,A,Brentwood city,California,51481,51624,51811,52717,53523,54943,56894,58825,60599,62271,63800
162,06,000,08310,00000,00000,0,A,Brisbane city,California,4282,4282,4290,4345,4404,4455,4605,4717,4716,4706,4693
162,06,000,08758,00000,00000,0,A,Buellton city,California,4828,4849,4856,4878,4922,4983,5045,5077,5108,5105,5109
162,06,000,08786,00000,00000,0,A,Buena Park city,California,80530,80619,80796,81562,82077,82766,82694,82863,83113,82742,82421
162,06,000,08954,00000,00000,0,A,Burbank city,California,103340,103358,103357,103749,104125,104430,104508,104613,104266,104351,103695
162,06,000,09066,00000,00000,0,A,Burlingame city,California,28806,28806,28839,29264,29648,29942,30277,30472,30449,30587,30467
162,06,000,09598,00000,00000,0,A,Calabasas city,California,23058,23462,23465,23746,23838,24061,24085,24139,24113,24095,23954
162,06,000,09710,00000,00000,0,A,Calexico city,California,38572,38573,38664,38935,39172,39335,39609,39818,40046,40062,40139
162,06,000,09780,00000,00000,0,A,California City city,California,14120,14120,13467,12835,13350,13212,13217,13223,13683,13913,14217
162,06,000,09864,00000,00000,0,A,Calimesa city,California,7879,7885,7921,7998,8094,8201,8378,8489,8616,8794,8937
162,06,000,09878,00000,00000,0,A,Calipatria city,California,7705,7694,7689,7681,7983,7085,7495,7396,7499,7526,7412
162,06,000,09892,00000,00000,0,A,Calistoga city,California,5155,5165,5173,5201,5223,5256,5274,5291,5295,5257,5322
162,06,000,10046,00000,00000,0,A,Camarillo city,California,65201,65154,65258,65521,65678,65923,66570,67263,67270,67549,69127
162,06,000,10345,00000,00000,0,A,Campbell city,California,39349,40572,40669,41047,41571,41966,42362,42381,42421,42695,42466
162,06,000,10928,00000,00000,0,A,Canyon Lake city,California,10561,10559,10605,10705,10790,10869,10954,11016,11101,11193,11267
162,06,000,11040,00000,00000,0,A,Capitola city,California,9918,9908,9917,9959,10004,10060,10111,10164,10178,10150,10080
162,06,000,11194,00000,00000,0,A,Carlsbad city,California,105328,105329,105679,107468,108982,110723,111688,112785,113423,114641,115877
162,06,000,11250,00000,00000,0,A,Carmel-by-the-Sea city,California,3722,3708,3716,3746,3782,3813,3840,3857,3874,3860,3859
162,06,000,11446,00000,00000,0,A,Carpinteria city,California,13040,13001,13012,13020,13146,13465,13573,13612,13605,13546,13457
162,06,000,11530,00000,00000,0,A,Carson city,California,91714,91714,91607,91704,92199,92596,92767,92860,92710,92329,91909
162,06,000,12048,00000,00000,0,A,Cathedral City city,California,51200,51254,51476,52100,52509,52890,53238,53572,54003,54465,54902
162,06,000,12524,00000,00000,0,A,Ceres city,California,45417,45891,45950,46114,46332,46565,47005,47526,48082,48464,48769
162,06,000,12552,00000,00000,0,A,Cerritos city,California,49041,49051,49052,49239,49414,49547,49586,49617,50436,50792,50462
162,06,000,13014,00000,00000,0,A,Chico city,California,86187,86807,86788,87269,87934,88392,89545,90487,91733,93326,94776
162,06,000,13210,00000,00000,0,A,Chino city,California,77983,78078,78657,79606,79982,80848,84367,85253,87576,89717,91583
162,06,000,13214,00000,00000,0,A,Chino Hills city,California,74799,74799,74973,75650,76073,76333,76571,77904,78542,80207,83447
162,06,000,13294,00000,00000,0,A,Chowchilla city,California,18720,18782,18716,18893,18056,17366,18852,18400,18188,18497,18771
162,06,000,13392,00000,00000,0,A,Chula Vista city,California,243916,243923,244656,248339,252457,256819,260069,264490,266610,269429,271651
162,06,000,13588,00000,00000,0,A,Citrus Heights city,California,83301,83274,83364,83872,84413,85037,85793,86666,87292,87782,87910
162,06,000,13756,00000,00000,0,A,Claremont city,California,34926,34873,34895,35191,35289,35666,35742,35996,35934,35882,36478
162,06,000,13882,00000,00000,0,A,Clayton city,California,10897,10918,10958,11148,11273,11485,11669,11842,12006,12122,12192
162,06,000,13945,00000,00000,0,A,Clearlake city,California,15250,15250,15266,15139,15071,15020,15060,15105,15529,15555,15384
162,06,000,14190,00000,00000,0,A,Cloverdale city,California,8618,8618,8625,8653,8671,8723,8764,8789,8800,8764,8878
162,06,000,14218,00000,00000,0,A,Clovis city,California,95631,95835,96246,97423,98482,99548,101853,103807,106366,109362,112022
162,06,000,14260,00000,00000,0,A,Coachella city,California,40704,40714,40990,41886,42587,42982,43920,44384,44832,45319,45839
162,06,000,14274,00000,00000,0,A,Coalinga city,California,13380,18079,18068,18034,16792,16715,16392,16500,16572,16730,16534
162,06,000,14498,00000,00000,0,A,Colfax city,California,1963,1950,1957,1975,1986,1996,2003,1995,2001,2003,2000
162,06,000,14736,00000,00000,0,A,Colma town,California,1792,1437,1439,1456,1474,1489,1502,1514,1512,1503,1504
162,06,000,14890,00000,00000,0,A,Colton city,California,52154,52150,52265,52716,52962,53131,53741,54334,54553,54722,54741
162,06,000,14946,00000,00000,0,A,Colusa city,California,5971,5971,5978,5940,5946,5929,5890,5875,5930,5929,5911
162,06,000,14974,00000,00000,0,A,Commerce city,California,12823,12844,12844,12893,12939,12973,12981,12984,12947,12888,12808
162,06,000,15044,00000,00000,0,A,Compton city,California,96455,96411,96454,96948,97393,97664,97717,97746,97410,97174,96617
162,06,000,16000,00000,00000,0,A,Concord city,California,122067,122168,122507,123517,124697,125926,127176,128319,129014,129502,129688
162,06,000,16224,00000,00000,0,A,Corcoran city,California,24813,24812,24456,24119,23675,23339,22828,22512,22711,21796,21676
162,06,000,16322,00000,00000,0,A,Corning city,California,7663,7663,7680,7644,7614,7554,7515,7524,7532,7568,7553
162,06,000,16350,00000,00000,0,A,Corona city,California,152374,152511,153249,154882,157608,158986,160656,163391,166306,167503,168819
162,06,000,16378,00000,00000,0,A,Coronado city,California,18912,24702,23963,23340,23202,23355,23564,23702,25107,24347,21390
162,06,000,16462,00000,00000,0,A,Corte Madera town,California,9253,9266,9274,9350,9388,9472,9912,9904,9868,9820,9802
162,06,000,16532,00000,00000,0,A,Costa Mesa city,California,109960,110078,110225,111162,111830,112307,112577,112930,113092,113825,113615
162,06,000,16560,00000,00000,0,A,Cotati city,California,7265,7265,7274,7302,7319,7375,7411,7433,7451,7461,7599
162,06,000,16742,00000,00000,0,A,Covina city,California,47796,47792,47793,47977,48235,48384,48586,48627,48466,48248,47963
162,06,000,17022,00000,00000,0,A,Crescent City city,California,7643,7640,7598,7516,7387,7164,6783,6774,6643,6385,6805
162,06,000,17498,00000,00000,0,A,Cudahy city,California,23805,23809,23810,23905,23994,24063,24090,24138,24074,23969,23826
162,06,000,17568,00000,00000,0,A,Culver City city,California,38883,38917,38912,39052,39250,39362,39390,39442,39317,39110,39214
162,06,000,17610,00000,00000,0,A,Cupertino city,California,58302,58572,58703,59189,59800,60238,60646,60571,60955,60621,60170
162,06,000,17750,00000,00000,0,A,Cypress city,California,47802,47860,47954,48399,48690,48995,48972,49043,48877,48899,48958
162,06,000,17918,00000,00000,0,A,Daly City city,California,101123,101132,101282,102485,103961,105047,105972,106610,106941,106736,107008
162,06,000,17946,00000,00000,0,A,Dana Point city,California,33351,33296,33343,33644,33848,33988,33962,34013,33986,33824,33730
162,06,000,17988,00000,00000,0,A,Danville town,California,42039,41849,41971,42363,42792,43259,43819,44305,44693,44681,44650
162,06,000,18100,00000,00000,0,A,Davis city,California,65622,65639,65586,65656,65794,66233,66576,67362,67980,68749,69289
162,06,000,18394,00000,00000,0,A,Delano city,California,53041,53040,53127,53619,52405,52342,52468,52528,52610,52914,53014
162,06,000,18506,00000,00000,0,A,Del Mar city,California,4161,4163,4173,4202,4238,4275,4300,4335,4354,4345,4347
162,06,000,18688,00000,00000,0,A,Del Rey Oaks city,California,1624,1624,1628,1640,1656,1666,1672,1678,1683,1677,1669
162,06,000,18996,00000,00000,0,A,Desert Hot Springs city,California,25938,27052,27170,27425,27639,27838,28036,28178,28434,28685,28885
162,06,000,19192,00000,00000,0,A,Diamond Bar city,California,55544,55552,55572,55846,56096,56256,56318,56484,56656,56411,56275
162,06,000,19318,00000,00000,0,A,Dinuba city,California,21453,21459,21570,22611,22820,23248,23554,23592,23923,23955,24316
162,06,000,19402,00000,00000,0,A,Dixon city,California,18351,18392,18407,18462,18597,18912,19079,19287,19759,20129,20497
162,06,000,19584,00000,00000,0,A,Dorris city,California,939,939,941,930,915,901,901,905,904,906,902
162,06,000,19612,00000,00000,0,A,Dos Palos city,California,4950,4950,4963,5004,5019,5030,5054,5093,5227,5419,5520
162,06,000,19766,00000,00000,0,A,Downey city,California,111772,111775,111788,112232,112629,112934,113195,113398,113066,112596,112269
162,06,000,19990,00000,00000,0,A,Duarte city,California,21321,21325,21349,21429,21611,21661,21829,21840,21763,21662,21527
162,06,000,20018,00000,00000,0,A,Dublin city,California,46036,46036,45900,46804,48708,52048,54581,57543,59561,60739,63445
162,06,000,20242,00000,00000,0,A,Dunsmuir city,California,1650,1640,1639,1619,1595,1572,1569,1574,1574,1578,1572
162,06,000,20956,00000,00000,0,A,East Palo Alto city,California,28155,28155,28223,28554,28935,29227,29501,29677,29823,29663,29519
162,06,000,21230,00000,00000,0,A,Eastvale city,California,A,53712,54073,55045,55773,56482,57734,59704,61289,63073,64822
162,06,000,21712,00000,00000,0,A,El Cajon city,California,99478,99513,99754,100730,101491,102274,102777,103248,103573,103509,103241
162,06,000,21782,00000,00000,0,A,El Centro city,California,42598,42588,42682,42978,43043,43348,43544,43692,44021,44060,44120
162,06,000,21796,00000,00000,0,A,El Cerrito city,California,23549,23586,23646,23846,24080,24332,24563,24908,25459,25455,25601
162,06,000,22020,00000,00000,0,A,Elk Grove city,California,153015,153010,153394,155631,158123,160314,162800,166090,169243,171503,172886
162,06,000,22230,00000,00000,0,A,El Monte city,California,113475,113507,113658,114088,114859,115447,115685,115908,115657,115618,115586
162,06,000,22300,00000,00000,0,A,El Paso de Robles (Paso Robles) city,California,29793,29750,29790,30076,30406,30726,31119,31358,31740,31814,32212
162,06,000,22412,00000,00000,0,A,El Segundo city,California,16654,16654,16654,16720,16802,16865,16914,16911,16860,16778,16719
162,06,000,22594,00000,00000,0,A,Emeryville city,California,10080,10107,10120,10218,10356,10878,11312,11761,11782,11731,12104
162,06,000,22678,00000,00000,0,A,Encinitas city,California,59518,59515,59675,60257,60894,61571,62048,62631,62980,62941,62904
162,06,000,22790,00000,00000,0,A,Escalon city,California,7132,7132,7144,7199,7229,7232,7357,7485,7512,7559,7587
162,06,000,22804,00000,00000,0,A,Escondido city,California,143911,143972,144437,146102,147604,148860,149799,150824,151383,151399,152213
162,06,000,22972,00000,00000,0,A,Etna city,California,737,737,736,730,722,714,711,713,714,719,718
162,06,000,23042,00000,00000,0,A,Eureka city,California,27191,27196,27200,27156,26928,26895,26880,26907,27162,27132,26998
162,06,000,23126,00000,00000,0,A,Exeter city,California,10334,10332,10342,10377,10424,10463,10496,10498,10492,10517,10533
162,06,000,23168,00000,00000,0,A,Fairfax town,California,7441,7439,7446,7507,7541,7606,7629,7622,7599,7562,7555
162,06,000,23182,00000,00000,0,A,Fairfield city,California,105321,105425,105562,106208,107471,109130,110735,112411,114545,115887,116884
162,06,000,23616,00000,00000,0,A,Farmersville city,California,10588,10588,10585,10596,10642,10686,10720,10726,10718,10741,10759
162,06,000,23910,00000,00000,0,A,Ferndale city,California,1371,1373,1373,1379,1367,1362,1363,1364,1372,1373,1364
162,06,000,24092,00000,00000,0,A,Fillmore city,California,15002,14991,15017,15082,15130,15242,15341,15473,15594,15746,15809
162,06,000,24134,00000,00000,0,A,Firebaugh city,California,7549,7562,7601,7765,7897,8058,8266,8285,8301,8306,8336
162,06,000,24638,00000,00000,0,A,Folsom city,California,72203,72196,72161,72594,73107,72857,75039,76026,77088,77882,79022
162,06,000,24680,00000,00000,0,A,Fontana city,California,196069,196472,197342,199916,201295,202804,204152,206377,208971,211388,213739
162,06,000,25058,00000,00000,0,A,Fort Bragg city,California,7273,7306,7307,7278,7280,7269,7284,7280,7297,7316,7359
162,06,000,25128,00000,00000,0,A,Fort Jones city,California,839,710,709,702,692,686,685,684,686,691,692
162,06,000,25296,00000,00000,0,A,Fortuna city,California,11926,11982,11991,11970,11870,11836,11919,12001,12144,12225,12280
162,06,000,25338,00000,00000,0,A,Foster City city,California,30567,30567,30610,30967,32106,32431,32718,33487,34297,34292,34151
162,06,000,25380,00000,00000,0,A,Fountain Valley city,California,55313,55360,55472,55956,56338,56632,56715,56704,56503,56128,55814
162,06,000,25436,00000,00000,0,A,Fowler city,California,5570,5635,5646,5902,5912,5922,6013,6229,6341,6476,6751
162,06,000,26000,00000,00000,0,A,Fremont city,California,214089,214072,214561,217400,221479,224888,228397,231697,233378,234237,237807
162,06,000,27000,00000,00000,0,A,Fresno city,California,494665,497102,497721,501413,505521,509104,514452,518670,521986,526037,530093
162,06,000,28000,00000,00000,0,A,Fullerton city,California,135161,135237,135299,136401,138153,138716,138949,140131,140648,139928,139640
162,06,000,28112,00000,00000,0,A,Galt city,California,23647,23721,23761,24160,24296,24459,24792,25255,25649,26198,26440
162,06,000,28168,00000,00000,0,A,Gardena city,California,58829,58829,58837,59124,59392,59826,59895,60014,59961,59957,59721
162,06,000,29000,00000,00000,0,A,Garden Grove city,California,170883,170956,171186,172971,173866,174518,174556,174522,174805,173646,172646
162,06,000,29504,00000,00000,0,A,Gilroy city,California,48821,48888,49013,49709,50738,51924,52576,53292,55409,57579,58756
162,06,000,30000,00000,00000,0,A,Glendale city,California,191719,191687,191726,192681,193941,195450,198420,199452,200444,202146,201361
162,06,000,30014,00000,00000,0,A,Glendora city,California,50073,50253,50365,50618,50803,51142,51097,51820,51947,52068,52002
162,06,000,30378,00000,00000,0,A,Goleta city,California,29888,29914,29962,29996,30212,30470,30716,30797,30755,30935,30821
162,06,000,30392,00000,00000,0,A,Gonzales city,California,8187,8154,8177,8237,8311,8358,8392,8419,8448,8420,8382
162,06,000,30658,00000,00000,0,A,Grand Terrace city,California,12040,12040,12064,12157,12248,12308,12347,12401,12473,12571,12584
162,06,000,30798,00000,00000,0,A,Grass Valley city,California,12860,12876,12875,12905,12822,12788,12845,12938,12940,12957,12914
162,06,000,30994,00000,00000,0,A,Greenfield city,California,16330,16334,16415,16544,16692,16782,16850,17079,17405,17413,17648
162,06,000,31260,00000,00000,0,A,Gridley city,California,6584,6582,6576,6547,6548,6550,6572,6570,6578,6601,6613
162,06,000,31393,00000,00000,0,A,Grover Beach city,California,13156,13154,13169,13202,13304,13399,13461,13525,13586,13597,13528
162,06,000,31414,00000,00000,0,A,Guadalupe city,California,7080,7080,7086,7091,7141,7195,7253,7284,7293,7327,7625
162,06,000,31568,00000,00000,0,A,Gustine city,California,5520,5520,5534,5580,5604,5622,5651,5716,5803,5815,5855
162,06,000,31708,00000,00000,0,A,Half Moon Bay city,California,11324,11324,11345,11502,11678,12058,12357,12655,12755,12825,12973
162,06,000,31960,00000,00000,0,A,Hanford city,California,53967,54371,54399,54551,54473,54707,55059,55585,55647,56332,56910
162,06,000,32506,00000,00000,0,A,Hawaiian Gardens city,California,14254,14275,14279,14334,14385,14431,14446,14482,14448,14385,14315
162,06,000,32548,00000,00000,0,A,Hawthorne city,California,84293,84293,84302,84939,85400,85926,86831,87790,87835,87460,86965
162,06,000,33000,00000,00000,0,A,Hayward city,California,144186,144332,144746,146845,149338,151709,154350,157890,159147,159994,159620
162,06,000,33056,00000,00000,0,A,Healdsburg city,California,11254,11252,11309,11349,11390,11484,11613,11710,11815,11806,12104
162,06,000,33182,00000,00000,0,A,Hemet city,California,78657,78627,79087,80222,81039,81743,82578,83351,84175,84848,85275
