,Metro Area,NAICS,Industry,Filter,Total
4657,"Austin-Round Rock, TX Metropolitan Statistical Area",21,Mining,Establishments,152
4658,"Austin-Round Rock, TX Metropolitan Statistical Area",21,Mining,Employment,[g]
4659,"Austin-Round Rock, TX Metropolitan Statistical Area",21,Mining,"Annual Payroll ($1,000)",(D)
4669,"Austin-Round Rock, TX Metropolitan Statistical Area",31-33,Manufacturing,Establishments,"1,166"
4670,"Austin-Round Rock, TX Metropolitan Statistical Area",31-33,Manufacturing,Employment,"49,818"
4671,"Austin-Round Rock, TX Metropolitan Statistical Area",31-33,Manufacturing,"Annual Payroll ($1,000)","2,729,498"
4685,"Austin-Round Rock, TX Metropolitan Statistical Area",51,Information,Establishments,928
4686,"Austin-Round Rock, TX Metropolitan Statistical Area",51,Information,Employment,[j]
4687,"Austin-Round Rock, TX Metropolitan Statistical Area",51,Information,"Annual Payroll ($1,000)",(D)
4689,"Austin-Round Rock, TX Metropolitan Statistical Area",52,Finance and Insurance,Establishments,"2,498"
4690,"Austin-Round Rock, TX Metropolitan Statistical Area",52,Finance and Insurance,Employment,"30,689"
4691,"Austin-Round Rock, TX Metropolitan Statistical Area",52,Finance and Insurance,"Annual Payroll ($1,000)","1,656,736"
4697,"Austin-Round Rock, TX Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Establishments,"5,509"
4698,"Austin-Round Rock, TX Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Employment,"53,863"
4699,"Austin-Round Rock, TX Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services","Annual Payroll ($1,000)","3,702,331"
4701,"Austin-Round Rock, TX Metropolitan Statistical Area",55,Management of Companies and Enterprises,Establishments,243
4702,"Austin-Round Rock, TX Metropolitan Statistical Area",55,Management of Companies and Enterprises,Employment,[j]
4703,"Austin-Round Rock, TX Metropolitan Statistical Area",55,Management of Companies and Enterprises,"Annual Payroll ($1,000)",(D)
8637,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",21,Mining,Establishments,59
8638,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",21,Mining,Employment,826
8639,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",21,Mining,"Annual Payroll ($1,000)","54,355"
8649,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",31-33,Manufacturing,Establishments,"5,246"
8650,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",31-33,Manufacturing,Employment,"186,726"
8651,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",31-33,Manufacturing,"Annual Payroll ($1,000)","11,105,508"
8665,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",51,Information,Establishments,"2,977"
8666,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",51,Information,Employment,"92,745"
8667,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",51,Information,"Annual Payroll ($1,000)","6,590,638"
8669,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",52,Finance and Insurance,Establishments,"7,321"
8670,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",52,Finance and Insurance,Employment,"177,272"
8671,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",52,Finance and Insurance,"Annual Payroll ($1,000)","17,817,089"
8677,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Establishments,"17,843"
8678,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",Employment,"214,830"
8679,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",54,"Professional, Scientific, and Technical Services","Annual Payroll ($1,000)","17,072,208"
8681,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",55,Management of Companies and Enterprises,Establishments,790
8682,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",55,Management of Companies and Enterprises,Employment,"77,714"
8683,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",55,Management of Companies and Enterprises,"Annual Payroll ($1,000)","6,846,256"
13521,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",21,Mining,Establishments,98
13522,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",21,Mining,Employment,"1,953"
13523,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",21,Mining,"Annual Payroll ($1,000)","141,944"
13533,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",31-33,Manufacturing,Establishments,"12,362"
13534,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",31-33,Manufacturing,Employment,"484,305"
13535,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",31-33,Manufacturing,"Annual Payroll ($1,000)","22,975,236"
